"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Maine"	"23"	"2003"	"2003"	92	1306513	7.0	7.1
	"Maine"	"23"	"2004"	"2004"	105	1313688	8.0	8.2
	"Maine"	"23"	"2005"	"2005"	123	1318787	9.3	9.5
	"Maine"	"23"	"2006"	"2006"	95	1323619	7.2	7.4
	"Maine"	"23"	"2007"	"2007"	107	1327040	8.1	8.5
	"Maine"	"23"	"2008"	"2008"	108	1330509	8.1	8.3
	"Maine"	"23"	"2009"	"2009"	119	1329590	9.0	9.1
	"Maine"	"23"	"2010"	"2010"	91	1328361	6.9	7.2
	"Maine"	"23"	"2011"	"2011"	95	1328188	7.2	7.5
	"Maine"	"23"	"2012"	"2012"	107	1329192	8.1	8.4
	"Maine"	"23"	"2013"	"2013"	134	1328302	10.1	10.5
	"Maine"	"23"	"2014"	"2014"	174	1330089	13.1	13.9
	"Maine"	"23"	"2015"	"2015"	246	1329328	18.5	19.9
	"Maine"	"23"	"2016"	"2016"	306	1331479	23.0	25.6
	"Maine"	"23"	"2017"	"2017"	364	1335907	27.2	30.3
	"Maine"	"23"	"2018"	"2018"	287	1338404	21.4	23.9
	"Maryland"	"24"	"1999"	"1999"	500	5254509	9.5	9.1
	"Maryland"	"24"	"2000"	"2000"	495	5296486	9.3	8.9
	"Maryland"	"24"	"2001"	"2001"	499	5374691	9.3	8.9
	"Maryland"	"24"	"2002"	"2002"	560	5440389	10.3	10.0
	"Maryland"	"24"	"2003"	"2003"	568	5496269	10.3	10.0
	"Maryland"	"24"	"2004"	"2004"	493	5546935	8.9	8.7
	"Maryland"	"24"	"2005"	"2005"	505	5592379	9.0	8.8
	"Maryland"	"24"	"2006"	"2006"	581	5627367	10.3	10.0
	"Maryland"	"24"	"2007"	"2007"	619	5653408	10.9	10.7
	"Maryland"	"24"	"2008"	"2008"	532	5684965	9.4	9.1
	"Maryland"	"24"	"2009"	"2009"	594	5730388	10.4	10.0
	"Maryland"	"24"	"2010"	"2010"	522	5773552	9.0	8.8
	"Maryland"	"24"	"2011"	"2011"	560	5828289	9.6	9.4
	"Maryland"	"24"	"2012"	"2012"	666	5884563	11.3	11.0
	"Maryland"	"24"	"2013"	"2013"	759	5928814	12.8	12.4
	"Maryland"	"24"	"2014"	"2014"	932	5976407	15.6	15.2
	"Maryland"	"24"	"2015"	"2015"	1099	6006401	18.3	17.9
	"Maryland"	"24"	"2016"	"2016"	1847	6016447	30.7	30.1
	"Maryland"	"24"	"2017"	"2017"	2012	6052177	33.2	32.6
	"Maryland"	"24"	"2018"	"2018"	2121	6042718	35.1	34.2
	"Massachusetts"	"25"	"1999"	"1999"	344	6317345	5.4	5.3
	"Massachusetts"	"25"	"2000"	"2000"	316	6349097	5.0	4.8
	"Massachusetts"	"25"	"2001"	"2001"	518	6397634	8.1	7.9
	"Massachusetts"	"25"	"2002"	"2002"	490	6417206	7.6	7.5
	"Massachusetts"	"25"	"2003"	"2003"	594	6422565	9.2	9.1
	"Massachusetts"	"25"	"2004"	"2004"	465	6412281	7.3	7.2
	"Massachusetts"	"25"	"2005"	"2005"	577	6403290	9.0	8.9
	"Massachusetts"	"25"	"2006"	"2006"	667	6410084	10.4	10.2
	"Massachusetts"	"25"	"2007"	"2007"	659	6431559	10.2	10.1
	"Massachusetts"	"25"	"2008"	"2008"	612	6468967	9.5	9.3
	"Massachusetts"	"25"	"2009"	"2009"	634	6517613	9.7	9.6
	"Massachusetts"	"25"	"2010"	"2010"	575	6547629	8.8	8.7
	"Massachusetts"	"25"	"2011"	"2011"	669	6587536	10.2	10.1
	"Massachusetts"	"25"	"2012"	"2012"	712	6646144	10.7	10.7
	"Massachusetts"	"25"	"2013"	"2013"	910	6692824	13.6	13.6
	"Massachusetts"	"25"	"2014"	"2014"	1158	6745408	17.2	17.3
	"Massachusetts"	"25"	"2015"	"2015"	1582	6794422	23.3	23.7
	"Massachusetts"	"25"	"2016"	"2016"	2022	6811779	29.7	30.2
	"Massachusetts"	"25"	"2017"	"2017"	1940	6859819	28.3	28.6
	"Massachusetts"	"25"	"2018"	"2018"	2010	6902149	29.1	29.6
	"Michigan"	"26"	"1999"	"1999"	140	9897116	1.4	1.4
	"Michigan"	"26"	"2000"	"2000"	195	9938444	2.0	1.9
	"Michigan"	"26"	"2001"	"2001"	211	9991120	2.1	2.1
	"Michigan"	"26"	"2002"	"2002"	248	10015710	2.5	2.5
	"Michigan"	"26"	"2003"	"2003"	278	10041152	2.8	2.7
	"Michigan"	"26"	"2004"	"2004"	390	10055315	3.9	3.9
	"Michigan"	"26"	"2005"	"2005"	527	10051137	5.2	5.2
	"Michigan"	"26"	"2006"	"2006"	641	10036081	6.4	6.4
	"Michigan"	"26"	"2007"	"2007"	522	10001284	5.2	5.2
	"Michigan"	"26"	"2008"	"2008"	656	9946889	6.6	6.6
	"Michigan"	"26"	"2009"	"2009"	747	9901591	7.5	7.6
	"Michigan"	"26"	"2010"	"2010"	723	9883640	7.3	7.3
	"Michigan"	"26"	"2011"	"2011"	751	9876187	7.6	7.8
	"Michigan"	"26"	"2012"	"2012"	700	9883360	7.1	7.2
	"Michigan"	"26"	"2013"	"2013"	933	9895622	9.4	9.6
	"Michigan"	"26"	"2014"	"2014"	1076	9909877	10.9	11.1
	"Michigan"	"26"	"2015"	"2015"	1332	9922576	13.4	13.9
	"Michigan"	"26"	"2016"	"2016"	1794	9928300	18.1	18.9
	"Michigan"	"26"	"2017"	"2017"	2072	9962311	20.8	21.6
	"Michigan"	"26"	"2018"	"2018"	2043	9995915	20.4	21.2
	"Minnesota"	"27"	"1999"	"1999"	62	4873481	1.3	1.3
	"Minnesota"	"27"	"2000"	"2000"	68	4919479	1.4	1.4
	"Minnesota"	"27"	"2001"	"2001"	112	4982796	2.2	2.2
	"Minnesota"	"27"	"2002"	"2002"	110	5018935	2.2	2.2
	"Minnesota"	"27"	"2003"	"2003"	121	5053572	2.4	2.4
	"Minnesota"	"27"	"2004"	"2004"	148	5087713	2.9	2.9
	"Minnesota"	"27"	"2005"	"2005"	161	5119598	3.1	3.1
	"Minnesota"	"27"	"2006"	"2006"	186	5163555	3.6	3.6
	"Minnesota"	"27"	"2007"	"2007"	184	5207203	3.5	3.5
	"Minnesota"	"27"	"2008"	"2008"	233	5247018	4.4	4.4
	"Minnesota"	"27"	"2009"	"2009"	277	5281203	5.2	5.3
	"Minnesota"	"27"	"2010"	"2010"	242	5303925	4.6	4.5
	"Minnesota"	"27"	"2011"	"2011"	295	5344861	5.5	5.4
	"Minnesota"	"27"	"2012"	"2012"	298	5379139	5.5	5.5
	"Minnesota"	"27"	"2013"	"2013"	314	5420380	5.8	5.8
	"Minnesota"	"27"	"2014"	"2014"	331	5457173	6.1	6.2
	"Minnesota"	"27"	"2015"	"2015"	345	5489594	6.3	6.3
	"Minnesota"	"27"	"2016"	"2016"	403	5519952	7.3	7.5
	"Minnesota"	"27"	"2017"	"2017"	436	5576606	7.8	8.0
	"Minnesota"	"27"	"2018"	"2018"	352	5611179	6.3	6.4
	"Mississippi"	"28"	"1999"	"1999"	16	2828408	Unreliable	Unreliable
	"Mississippi"	"28"	"2000"	"2000"	14	2844658	Unreliable	Unreliable
	"Mississippi"	"28"	"2001"	"2001"	26	2852994	0.9	0.9
	"Mississippi"	"28"	"2002"	"2002"	27	2858681	0.9	1.0
	"Mississippi"	"28"	"2003"	"2003"	31	2868312	1.1	1.1
	"Mississippi"	"28"	"2004"	"2004"	28	2889010	1.0	1.1
	"Mississippi"	"28"	"2005"	"2005"	43	2905943	1.5	1.5
	"Mississippi"	"28"	"2006"	"2006"	68	2904978	2.3	2.4
	"Mississippi"	"28"	"2007"	"2007"	98	2928350	3.3	3.4
	"Mississippi"	"28"	"2008"	"2008"	106	2947806	3.6	3.7
	"Mississippi"	"28"	"2009"	"2009"	98	2958774	3.3	3.4
	"Mississippi"	"28"	"2010"	"2010"	105	2967297	3.5	3.4
	"Mississippi"	"28"	"2011"	"2011"	84	2978512	2.8	3.0
	"Mississippi"	"28"	"2012"	"2012"	112	2984926	3.8	4.0
	"Mississippi"	"28"	"2013"	"2013"	103	2991207	3.4	3.5
	"Mississippi"	"28"	"2014"	"2014"	117	2994079	3.9	4.0
	"Mississippi"	"28"	"2015"	"2015"	157	2992333	5.2	5.5
	"Mississippi"	"28"	"2016"	"2016"	183	2988726	6.1	6.3
	"Mississippi"	"28"	"2017"	"2017"	191	2984100	6.4	6.7
	"Mississippi"	"28"	"2018"	"2018"	177	2986530	5.9	6.2
	"Missouri"	"29"	"1999"	"1999"	105	5561948	1.9	1.9
	"Missouri"	"29"	"2000"	"2000"	138	5595211	2.5	2.5
	"Missouri"	"29"	"2001"	"2001"	137	5641142	2.4	2.5
	"Missouri"	"29"	"2002"	"2002"	198	5674825	3.5	3.6
	"Missouri"	"29"	"2003"	"2003"	274	5709403	4.8	4.9
	"Missouri"	"29"	"2004"	"2004"	283	5747741	4.9	5.1
	"Missouri"	"29"	"2005"	"2005"	306	5790300	5.3	5.4
	"Missouri"	"29"	"2006"	"2006"	417	5842704	7.1	7.3
	"Missouri"	"29"	"2007"	"2007"	403	5887612	6.8	6.9
	"Missouri"	"29"	"2008"	"2008"	489	5923916	8.3	8.5
	"Missouri"	"29"	"2009"	"2009"	545	5961088	9.1	9.2
	"Missouri"	"29"	"2010"	"2010"	612	5988927	10.2	10.5
	"Missouri"	"29"	"2011"	"2011"	612	6010688	10.2	10.5
	"Missouri"	"29"	"2012"	"2012"	556	6021988	9.2	9.6
	"Missouri"	"29"	"2013"	"2013"	644	6044171	10.7	11.1
	"Missouri"	"29"	"2014"	"2014"	726	6063589	12.0	12.4
	"Missouri"	"29"	"2015"	"2015"	716	6083672	11.8	12.1
	"Missouri"	"29"	"2016"	"2016"	938	6093000	15.4	16.2
	"Missouri"	"29"	"2017"	"2017"	984	6113532	16.1	17.0
	"Missouri"	"29"	"2018"	"2018"	1182	6126452	19.3	20.4
	"Montana"	"30"	"1999"	"1999"	16	897507	Unreliable	Unreliable
	"Montana"	"30"	"2000"	"2000"	13	902195	Unreliable	Unreliable
	"Montana"	"30"	"2001"	"2001"	21	906961	2.3	2.4
	"Montana"	"30"	"2002"	"2002"	21	911667	2.3	2.3
	"Montana"	"30"	"2003"	"2003"	46	919630	5.0	5.2
	"Montana"	"30"	"2004"	"2004"	46	930009	4.9	5.1
	"Montana"	"30"	"2005"	"2005"	47	940102	5.0	4.9
	"Montana"	"30"	"2006"	"2006"	51	952692	5.4	5.7
	"Montana"	"30"	"2007"	"2007"	62	964706	6.4	6.3
	"Montana"	"30"	"2008"	"2008"	70	976415	7.2	7.6
	"Montana"	"30"	"2009"	"2009"	93	983982	9.5	9.7
	"Montana"	"30"	"2010"	"2010"	55	989415	5.6	6.2
	"Montana"	"30"	"2011"	"2011"	63	998199	6.3	6.8
	"Montana"	"30"	"2012"	"2012"	53	1005141	5.3	5.4
	"Montana"	"30"	"2013"	"2013"	68	1015165	6.7	7.2
	"Montana"	"30"	"2014"	"2014"	54	1023579	5.3	5.5
	"Montana"	"30"	"2015"	"2015"	49	1032949	4.7	5.1
	"Montana"	"30"	"2016"	"2016"	43	1042520	4.1	4.2
	"Montana"	"30"	"2017"	"2017"	38	1050493	3.6	3.6
	"Montana"	"30"	"2018"	"2018"	64	1062305	6.0	6.2
	"Nebraska"	"31"	"2000"	"2000"	16	1711263	Unreliable	Unreliable
	"Nebraska"	"31"	"2001"	"2001"	32	1719836	1.9	1.9
	"Nebraska"	"31"	"2002"	"2002"	25	1728292	1.4	1.5
	"Nebraska"	"31"	"2003"	"2003"	14	1738643	Unreliable	Unreliable
	"Nebraska"	"31"	"2004"	"2004"	26	1749370	1.5	1.6
	"Nebraska"	"31"	"2005"	"2005"	43	1761497	2.4	2.5
	"Nebraska"	"31"	"2006"	"2006"	34	1772693	1.9	1.9
	"Nebraska"	"31"	"2007"	"2007"	41	1783440	2.3	2.5
	"Nebraska"	"31"	"2008"	"2008"	30	1796378	1.7	1.7
	"Nebraska"	"31"	"2009"	"2009"	68	1812683	3.8	3.9
	"Nebraska"	"31"	"2010"	"2010"	61	1826341	3.3	3.6
	"Nebraska"	"31"	"2011"	"2011"	54	1842641	2.9	2.9
	"Nebraska"	"31"	"2012"	"2012"	60	1855525	3.2	3.4
	"Nebraska"	"31"	"2013"	"2013"	42	1868516	2.2	2.3
	"Nebraska"	"31"	"2014"	"2014"	60	1881503	3.2	3.4
	"Nebraska"	"31"	"2015"	"2015"	58	1896190	3.1	3.3
	"Nebraska"	"31"	"2016"	"2016"	47	1907116	2.5	2.5
	"Nebraska"	"31"	"2017"	"2017"	61	1920076	3.2	3.2
	"Nebraska"	"31"	"2018"	"2018"	66	1929268	3.4	3.5
	"Nevada"	"32"	"1999"	"1999"	166	1934718	8.6	8.4
	"Nevada"	"32"	"2000"	"2000"	202	1998257	10.1	10.0
	"Nevada"	"32"	"2001"	"2001"	205	2098399	9.8	9.6
	"Nevada"	"32"	"2002"	"2002"	269	2173791	12.4	12.2
	"Nevada"	"32"	"2003"	"2003"	287	2248850	12.8	12.7
	"Nevada"	"32"	"2004"	"2004"	330	2346222	14.1	13.9
	"Nevada"	"32"	"2005"	"2005"	365	2432143	15.0	14.9
	"Nevada"	"32"	"2006"	"2006"	377	2522658	14.9	14.7
	"Nevada"	"32"	"2007"	"2007"	414	2601072	15.9	15.7
	"Nevada"	"32"	"2008"	"2008"	437	2653630	16.5	16.1
	"Nevada"	"32"	"2009"	"2009"	497	2684665	18.5	18.0
	"Nevada"	"32"	"2010"	"2010"	519	2700551	19.2	18.6
	"Nevada"	"32"	"2011"	"2011"	531	2723322	19.5	18.9
	"Nevada"	"32"	"2012"	"2012"	493	2758931	17.9	17.1
	"Nevada"	"32"	"2013"	"2013"	443	2790136	15.9	15.2
	"Nevada"	"32"	"2014"	"2014"	412	2839099	14.5	13.9
	"Nevada"	"32"	"2015"	"2015"	475	2890845	16.4	15.6
	"Nevada"	"32"	"2016"	"2016"	455	2940058	15.5	14.8
	"Nevada"	"32"	"2017"	"2017"	450	2998039	15.0	14.4
	"Nevada"	"32"	"2018"	"2018"	398	3034392	13.1	12.3
	"New Hampshire"	"33"	"1999"	"1999"	41	1222014	3.4	3.2
	"New Hampshire"	"33"	"2000"	"2000"	29	1235786	2.3	2.2
	"New Hampshire"	"33"	"2001"	"2001"	53	1255517	4.2	4.1
	"New Hampshire"	"33"	"2002"	"2002"	83	1269089	6.5	6.5
	"New Hampshire"	"33"	"2003"	"2003"	98	1279840	7.7	7.4
	"New Hampshire"	"33"	"2004"	"2004"	92	1290121	7.1	7.1
	"New Hampshire"	"33"	"2005"	"2005"	111	1298492	8.5	8.3
	"New Hampshire"	"33"	"2006"	"2006"	108	1308389	8.3	8.2
	"New Hampshire"	"33"	"2007"	"2007"	148	1312540	11.3	11.1
	"New Hampshire"	"33"	"2008"	"2008"	94	1315906	7.1	7.0
	"New Hampshire"	"33"	"2009"	"2009"	127	1316102	9.6	9.6
	"New Hampshire"	"33"	"2010"	"2010"	119	1316470	9.0	9.1
	"New Hampshire"	"33"	"2011"	"2011"	158	1318194	12.0	11.8
	"New Hampshire"	"33"	"2012"	"2012"	134	1320718	10.1	10.6
	"New Hampshire"	"33"	"2013"	"2013"	161	1323459	12.2	12.1
	"New Hampshire"	"33"	"2014"	"2014"	302	1326813	22.8	23.8
	"New Hampshire"	"33"	"2015"	"2015"	386	1330608	29.0	31.7
	"New Hampshire"	"33"	"2016"	"2016"	445	1334795	33.3	36.3
	"New Hampshire"	"33"	"2017"	"2017"	429	1342795	31.9	34.4
	"New Hampshire"	"33"	"2018"	"2018"	421	1356458	31.0	33.7
	"New Jersey"	"34"	"1999"	"1999"	343	8359592	4.1	4.0
	"New Jersey"	"34"	"2000"	"2000"	363	8414350	4.3	4.3
	"New Jersey"	"34"	"2001"	"2001"	419	8492671	4.9	4.8
	"New Jersey"	"34"	"2002"	"2002"	504	8552643	5.9	5.8
	"New Jersey"	"34"	"2003"	"2003"	465	8601402	5.4	5.4
	"New Jersey"	"34"	"2004"	"2004"	325	8634561	3.8	3.8
	"New Jersey"	"34"	"2005"	"2005"	453	8651974	5.2	5.2
	"New Jersey"	"34"	"2006"	"2006"	377	8661679	4.4	4.3
	"New Jersey"	"34"	"2007"	"2007"	347	8677885	4.0	4.0
	"New Jersey"	"34"	"2008"	"2008"	346	8711090	4.0	4.0
	"New Jersey"	"34"	"2009"	"2009"	57	8755602	0.7	0.7
	"New Jersey"	"34"	"2010"	"2010"	384	8791894	4.4	4.4
	"New Jersey"	"34"	"2011"	"2011"	478	8821155	5.4	5.4
	"New Jersey"	"34"	"2012"	"2012"	625	8864590	7.1	7.1
	"New Jersey"	"34"	"2013"	"2013"	711	8899339	8.0	8.0
	"New Jersey"	"34"	"2014"	"2014"	756	8938175	8.5	8.5
	"New Jersey"	"34"	"2015"	"2015"	879	8958013	9.8	9.9
	"New Jersey"	"34"	"2016"	"2016"	1463	8944469	16.4	16.5
	"New Jersey"	"34"	"2017"	"2017"	2004	9005644	22.3	22.4
	"New Jersey"	"34"	"2018"	"2018"	2617	8908520	29.4	30.0
	"New Mexico"	"35"	"1999"	"1999"	187	1808082	10.3	10.6
	"New Mexico"	"35"	"2000"	"2000"	189	1819046	10.4	10.5
	"New Mexico"	"35"	"2001"	"2001"	155	1831690	8.5	8.6
	"New Mexico"	"35"	"2002"	"2002"	204	1855309	11.0	11.5
	"New Mexico"	"35"	"2003"	"2003"	228	1877574	12.1	12.5
	"New Mexico"	"35"	"2004"	"2004"	192	1903808	10.1	10.4
	"New Mexico"	"35"	"2005"	"2005"	217	1932274	11.2	11.7
	"New Mexico"	"35"	"2006"	"2006"	252	1962137	12.8	13.0
	"New Mexico"	"35"	"2007"	"2007"	272	1990070	13.7	13.8
	"New Mexico"	"35"	"2008"	"2008"	330	2010662	16.4	16.8
	"New Mexico"	"35"	"2009"	"2009"	212	2036802	10.4	10.8
	"New Mexico"	"35"	"2010"	"2010"	201	2059179	9.8	10.0
	"New Mexico"	"35"	"2011"	"2011"	254	2082224	12.2	12.5
	"New Mexico"	"35"	"2012"	"2012"	339	2085538	16.3	17.0
	"New Mexico"	"35"	"2013"	"2013"	350	2085287	16.8	17.3
	"New Mexico"	"35"	"2014"	"2014"	416	2085572	19.9	21.0
	"New Mexico"	"35"	"2015"	"2015"	375	2085109	18.0	18.9
	"New Mexico"	"35"	"2016"	"2016"	368	2081015	17.7	18.3
	"New Mexico"	"35"	"2017"	"2017"	356	2088070	17.0	17.8
	"New Mexico"	"35"	"2018"	"2018"	359	2095428	17.1	17.7
	"New York"	"36"	"1999"	"1999"	663	18882725	3.5	3.5
	"New York"	"36"	"2000"	"2000"	518	18976457	2.7	2.7
	"New York"	"36"	"2001"	"2001"	653	19082838	3.4	3.4
	"New York"	"36"	"2002"	"2002"	584	19137800	3.1	3.0
	"New York"	"36"	"2003"	"2003"	613	19175939	3.2	3.2
	"New York"	"36"	"2004"	"2004"	514	19171567	2.7	2.6
	"New York"	"36"	"2005"	"2005"	575	19132610	3.0	2.9
	"New York"	"36"	"2006"	"2006"	1047	19104631	5.5	5.4
	"New York"	"36"	"2007"	"2007"	1059	19132335	5.5	5.4
	"New York"	"36"	"2008"	"2008"	1162	19212436	6.0	5.9
	"New York"	"36"	"2009"	"2009"	1106	19307066	5.7	5.6
	"New York"	"36"	"2010"	"2010"	1114	19378102	5.7	5.6
	"New York"	"36"	"2011"	"2011"	1412	19465197	7.3	7.1
	"New York"	"36"	"2012"	"2012"	1574	19570261	8.0	7.8
	"New York"	"36"	"2013"	"2013"	1732	19651127	8.8	8.5
	"New York"	"36"	"2014"	"2014"	1786	19746227	9.0	8.9
	"New York"	"36"	"2015"	"2015"	2223	19795791	11.2	11.1
	"New York"	"36"	"2016"	"2016"	3086	19745289	15.6	15.4
	"New York"	"36"	"2017"	"2017"	3300	19849399	16.6	16.5
	"New York"	"36"	"2018"	"2018"	3063	19542209	15.7	15.5
	"North Carolina"	"37"	"1999"	"1999"	161	7949361	2.0	2.0
	"North Carolina"	"37"	"2000"	"2000"	292	8049313	3.6	3.6
	"North Carolina"	"37"	"2001"	"2001"	342	8210122	4.2	4.1
	"North Carolina"	"37"	"2002"	"2002"	412	8326201	4.9	4.9
	"North Carolina"	"37"	"2003"	"2003"	504	8422501	6.0	5.9
	"North Carolina"	"37"	"2004"	"2004"	574	8553152	6.7	6.7
	"North Carolina"	"37"	"2005"	"2005"	658	8705407	7.6	7.5
	"North Carolina"	"37"	"2006"	"2006"	707	8917270	7.9	7.9
	"North Carolina"	"37"	"2007"	"2007"	758	9118037	8.3	8.3
	"North Carolina"	"37"	"2008"	"2008"	858	9309449	9.2	9.2
	"North Carolina"	"37"	"2009"	"2009"	864	9449566	9.1	9.2
	"North Carolina"	"37"	"2010"	"2010"	787	9535483	8.3	8.2
	"North Carolina"	"37"	"2011"	"2011"	828	9656401	8.6	8.6
	"North Carolina"	"37"	"2012"	"2012"	841	9752073	8.6	8.7
	"North Carolina"	"37"	"2013"	"2013"	839	9848060	8.5	8.7
	"North Carolina"	"37"	"2014"	"2014"	978	9943964	9.8	10.1
	"North Carolina"	"37"	"2015"	"2015"	1189	10042802	11.8	12.1
	"North Carolina"	"37"	"2016"	"2016"	1543	10146788	15.2	15.7
	"North Carolina"	"37"	"2017"	"2017"	1972	10273419	19.2	20.0
	"North Carolina"	"37"	"2018"	"2018"	1806	10383620	17.4	18.1
	"North Dakota"	"38"	"2002"	"2002"	14	638168	Unreliable	Unreliable
	"North Dakota"	"38"	"2003"	"2003"	10	638817	Unreliable	Unreliable
	"North Dakota"	"38"	"2004"	"2004"	13	644705	Unreliable	Unreliable
	"North Dakota"	"38"	"2007"	"2007"	17	652822	Unreliable	Unreliable
	"North Dakota"	"38"	"2008"	"2008"	32	657569	4.9	5.1
	"North Dakota"	"38"	"2009"	"2009"	18	664968	Unreliable	Unreliable
	"North Dakota"	"38"	"2010"	"2010"	18	672591	Unreliable	Unreliable
	"North Dakota"	"38"	"2011"	"2011"	10	683932	Unreliable	Unreliable
	"North Dakota"	"38"	"2013"	"2013"	14	723393	Unreliable	Unreliable
	"North Dakota"	"38"	"2014"	"2014"	34	739482	4.6	4.9
	"North Dakota"	"38"	"2015"	"2015"	36	756927	4.8	5.1
	"North Dakota"	"38"	"2016"	"2016"	55	757952	7.3	7.7
	"North Dakota"	"38"	"2017"	"2017"	36	755393	4.8	4.9
	"North Dakota"	"38"	"2018"	"2018"	38	760077	5.0	5.4
	"Ohio"	"39"	"1999"	"1999"	178	11335454	1.6	1.6
	"Ohio"	"39"	"2000"	"2000"	270	11353140	2.4	2.4
	"Ohio"	"39"	"2001"	"2001"	356	11387404	3.1	3.1
	"Ohio"	"39"	"2002"	"2002"	458	11407889	4.0	4.1
	"Ohio"	"39"	"2003"	"2003"	397	11434788	3.5	3.5
	"Ohio"	"39"	"2004"	"2004"	554	11452251	4.8	4.9
	"Ohio"	"39"	"2005"	"2005"	590	11463320	5.1	5.2
	"Ohio"	"39"	"2006"	"2006"	675	11481213	5.9	6.0
	"Ohio"	"39"	"2007"	"2007"	753	11500468	6.5	6.6
	"Ohio"	"39"	"2008"	"2008"	863	11515391	7.5	7.6
	"Ohio"	"39"	"2009"	"2009"	716	11528896	6.2	6.4
	"Ohio"	"39"	"2010"	"2010"	1194	11536504	10.3	10.6
	"Ohio"	"39"	"2011"	"2011"	1331	11544951	11.5	11.8
	"Ohio"	"39"	"2012"	"2012"	1400	11544225	12.1	12.7
	"Ohio"	"39"	"2013"	"2013"	1694	11570808	14.6	15.2
	"Ohio"	"39"	"2014"	"2014"	2171	11594163	18.7	19.6
	"Ohio"	"39"	"2015"	"2015"	2757	11613423	23.7	25.1
	"Ohio"	"39"	"2016"	"2016"	3687	11614373	31.7	33.6
	"Ohio"	"39"	"2017"	"2017"	4377	11658609	37.5	40.0
	"Ohio"	"39"	"2018"	"2018"	3316	11689442	28.4	30.3
	"Oklahoma"	"40"	"1999"	"1999"	91	3437147	2.6	2.7
	"Oklahoma"	"40"	"2000"	"2000"	135	3450654	3.9	4.1
	"Oklahoma"	"40"	"2001"	"2001"	170	3467100	4.9	5.1
	"Oklahoma"	"40"	"2002"	"2002"	152	3489080	4.4	4.5
	"Oklahoma"	"40"	"2003"	"2003"	262	3504892	7.5	7.8
	"Oklahoma"	"40"	"2004"	"2004"	324	3525233	9.2	9.5
	"Oklahoma"	"40"	"2005"	"2005"	319	3548597	9.0	9.2
	"Oklahoma"	"40"	"2006"	"2006"	393	3594090	10.9	11.3
	"Oklahoma"	"40"	"2007"	"2007"	500	3634349	13.8	14.1
	"Oklahoma"	"40"	"2008"	"2008"	415	3668976	11.3	11.5
	"Oklahoma"	"40"	"2009"	"2009"	579	3717572	15.6	15.8
	"Oklahoma"	"40"	"2010"	"2010"	523	3751351	13.9	14.2
	"Oklahoma"	"40"	"2011"	"2011"	492	3791508	13.0	13.2
	"Oklahoma"	"40"	"2012"	"2012"	538	3814820	14.1	14.3
	"Oklahoma"	"40"	"2013"	"2013"	520	3850568	13.5	13.6
	"Oklahoma"	"40"	"2014"	"2014"	504	3878051	13.0	13.1
	"Oklahoma"	"40"	"2015"	"2015"	447	3911338	11.4	11.7
	"Oklahoma"	"40"	"2016"	"2016"	451	3923561	11.5	11.8
	"Oklahoma"	"40"	"2017"	"2017"	401	3930864	10.2	10.6
	"Oklahoma"	"40"	"2018"	"2018"	318	3943079	8.1	8.1
	"Oregon"	"41"	"1999"	"1999"	200	3393941	5.9	5.9
	"Oregon"	"41"	"2000"	"2000"	175	3421399	5.1	5.1
	"Oregon"	"41"	"2001"	"2001"	198	3467937	5.7	5.7
	"Oregon"	"41"	"2002"	"2002"	246	3513424	7.0	6.9
	"Oregon"	"41"	"2003"	"2003"	264	3547376	7.4	7.3
	"Oregon"	"41"	"2004"	"2004"	274	3569463	7.7	7.6
	"Oregon"	"41"	"2005"	"2005"	318	3613202	8.8	8.6
	"Oregon"	"41"	"2006"	"2006"	395	3670883	10.8	10.6
	"Oregon"	"41"	"2007"	"2007"	362	3722417	9.7	9.5
	"Oregon"	"41"	"2008"	"2008"	348	3768748	9.2	9.2
	"Oregon"	"41"	"2009"	"2009"	382	3808600	10.0	9.8
	"Oregon"	"41"	"2010"	"2010"	337	3831074	8.8	8.6
	"Oregon"	"41"	"2011"	"2011"	402	3871859	10.4	10.3
	"Oregon"	"41"	"2012"	"2012"	369	3899353	9.5	9.4
	"Oregon"	"41"	"2013"	"2013"	309	3930065	7.9	7.7
	"Oregon"	"41"	"2014"	"2014"	347	3970239	8.7	8.5
	"Oregon"	"41"	"2015"	"2015"	340	4028977	8.4	8.1
	"Oregon"	"41"	"2016"	"2016"	324	4093465	7.9	7.9
	"Oregon"	"41"	"2017"	"2017"	353	4142776	8.5	8.3
	"Oregon"	"41"	"2018"	"2018"	350	4190713	8.4	8.2
	"Pennsylvania"	"42"	"1999"	"1999"	327	12263805	2.7	2.7
	"Pennsylvania"	"42"	"2000"	"2000"	328	12281054	2.7	2.7
	"Pennsylvania"	"42"	"2001"	"2001"	266	12298970	2.2	2.2
	"Pennsylvania"	"42"	"2002"	"2002"	357	12331031	2.9	3.0
	"Pennsylvania"	"42"	"2003"	"2003"	481	12374658	3.9	4.0
	"Pennsylvania"	"42"	"2004"	"2004"	483	12410722	3.9	4.0
	"Pennsylvania"	"42"	"2005"	"2005"	523	12449990	4.2	4.3
	"Pennsylvania"	"42"	"2006"	"2006"	428	12510809	3.4	3.6
	"Pennsylvania"	"42"	"2007"	"2007"	501	12563937	4.0	4.1
	"Pennsylvania"	"42"	"2008"	"2008"	619	12612285	4.9	5.0
